"Duration","HeartRate",
"0","61",
"1","60",
"1","61",
"1","61",
"1","62",
"1","62",
"1","61",
"1","60",
"1","59",
"1","58",
"1","58",
"1","59",
"1","60",
"1","60",
"1","60",
"1","60",
"1","59",
"1","59",
"1","58",
"1","57",
"1","57",
"1","56",
"1","56",
"1","56",
"1","57",
"1","57",
"1","57",
"1","56",
"1","56",
"1","55",
"1","55",
"1","56",
"1","56",
"1","56",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","56",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","56",
"1","57",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","57",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","59",
"1","60",
"1","61",
"1","61",
"1","60",
"1","59",
"1","58",
"1","58",
"1","58",
"1","59",
"1","59",
"1","59",
"1","60",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","59",
"1","60",
"1","60",
"1","59",
"1","58",
"1","58",
"1","58",
"1","57",
"1","56",
"1","56",
"1","56",
"1","57",
"1","57",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","59",
"1","60",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","61",
"1","62",
"1","62",
"1","62",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","61",
"1","61",
"1","62",
"1","62",
"1","64",
"1","64",
"1","63",
"1","62",
"1","62",
"1","62",
"1","62",
"1","62",
"1","62",
"1","62",
"1","61",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","59",
"1","60",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","58",
"1","60",
"1","61",
"1","61",
"1","61",
"1","61",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","60",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","58",
"1","58",
"1","59",
"1","60",
"1","61",
"1","60",
"1","60",
"1","59",
"1","59",
"1","60",
"1","61",
"1","61",
"1","62",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","60",
"1","61",
"1","61",
"1","61",
"1","61",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","58",
"1","58",
"1","59",
"1","59",
"1","61",
"1","62",
"1","62",
"1","61",
"1","60",
"1","59",
"1","58",
"1","58",
"1","58",
"1","59",
"1","60",
"1","61",
"1","61",
"1","61",
"1","61",
"1","62",
"1","62",
"1","62",
"1","61",
"1","61",
"1","61",
"1","62",
"1","63",
"1","63",
"1","63",
"1","63",
"1","62",
"1","62",
"1","61",
"1","60",
"1","60",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","60",
"1","60",
"1","61",
"1","61",
"1","60",
"1","59",
"1","58",
"1","58",
"1","57",
"1","57",
"1","58",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","58",
"1","57",
"1","57",
"1","57",
"1","56",
"1","57",
"1","58",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","56",
"1","57",
"1","57",
"1","57",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","56",
"1","56",
"1","56",
"1","57",
"1","58",
"1","58",
"1","59",
"1","58",
"1","58",
"1","57",
"1","57",
"1","57",
"1","56",
"1","57",
"1","57",
"1","57",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","55",
"1","56",
"1","56",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","56",
"1","57",
"1","58",
"1","58",
"1","58",
"1","57",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","57",
"1","57",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","56",
"1","56",
"1","57",
"1","58",
"1","59",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","59",
"1","59",
"1","60",
"1","60",
"1","60",
"1","59",
"1","59",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","58",
"1","59",
"1","59",
"1","60",
"1","60",
"1","59",
"1","59",
"1","60",
"1","61",
"1","62",
"1","63",
"1","64",
"1","63",
"1","63",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","61",
"1","62",
"1","62",
"1","63",
"1","62",
"1","62",
"1","61",
"1","61",
"1","61",
"1","61",
"1","62",
"1","63",
"1","63",
"1","63",
"1","62",
"1","62",
"1","62",
"1","62",
"1","62",
"1","61",
"1","60",
"1","60",
"1","61",
"1","61",
"1","62",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","60",
"1","60",
"1","61",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","59",
"1","59",
"1","58",
"1","58",
"1","59",
"1","60",
"1","61",
"1","61",
"1","61",
"1","61",
"1","60",
"1","59",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","56",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","54",
"1","54",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","56",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","55",
"1","54",
"1","54",
"1","54",
"1","54",
"1","53",
"1","54",
"1","55",
"1","55",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","57",
"1","57",
"1","57",
"1","56",
"1","56",
"1","57",
"1","57",
"1","58",
"1","58",
"1","58",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","57",
"1","58",
"1","59",
"1","59",
"1","59",
"1","58",
"1","57",
"1","57",
"1","57",
"1","58",
"1","59",
"1","59",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","57",
"1","58",
"1","58",
"1","59",
"1","59",
"1","59",
"1","59",
"1","58",
"1","57",
"1","57",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","55",
"1","55",
"1","55",
"1","54",
"1","54",
"1","53",
"1","53",
"1","54",
"1","54",
"1","54",
"1","54",
"1","54",
"1","54",
"1","53",
"1","53",
"1","53",
"1","53",
"1","54",
"1","53",
"1","53",
"1","54",
"1","54",
"1","55",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","56",
"1","57",
"1","58",
"1","59",
"1","59",
"1","59",
"1","58",
"1","58",
"1","58",
"1","59",
"1","60",
"1","61",
"1","61",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","60",
"1","60",
"1","60",
"1","60",
"1","61",
"1","62",
"1","63",
"1","63",
"1","64",
"1","64",
"1","64",
"1","62",
"1","62",
"1","62",
"1","63",
"1","63",
"1","64",
"1","65",
"1","65",
"1","65",
"1","65",
"1","64",
"1","64",
"1","64",
"1","64",
"1","65",
"1","67",
"1","68",
"1","68",
"1","68",
"1","67",
"1","67",
"1","68",
"1","69",
"1","69",
"1","69",
"1","69",
"1","68",
"1","67",
"1","67",
"1","66",
"1","66",
"1","67",
"1","67",
"1","68",
"1","68",
"1","66",
"1","66",
"1","66",
"1","66",
"1","66",
"1","66",
"1","66",
"1","65",
"1","64",
"1","64",
"1","64",
"1","64",
"1","65",
"1","65",
"1","64",
"1","63",
"1","63",
"1","62",
"1","61",
"1","61",
"1","61",
"1","62",
"1","62",
"1","63",
"1","62",
"1","62",
"1","61",
"1","60",
"1","60",
"1","60",
"1","61",
"1","62",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","60",
"1","61",
"1","62",
"1","62",
"1","63",
"1","62",
"1","62",
"1","61",
"1","61",
"1","60",
"1","60",
"1","61",
